time,open,high,low,close,Volume,Volume MA
2010-01-20,2251,2251,2251,2251,,
2010-01-21,2398,2398,2398,2398,,
2010-01-22,2518,2518,2518,2518,,
2010-01-25,1290,1290,1290,1290,,
2010-01-26,1945,1945,1945,1945,,
2010-01-27,1517,1517,1517,1517,,
2010-01-28,2231,2231,2231,2231,,
2010-01-29,2065,2065,2065,2065,,
2010-02-01,646,646,646,646,,
2010-02-02,694,694,694,694,,
2010-02-03,1856,1856,1856,1856,,
2010-02-04,2840,2840,2840,2840,,
2010-02-05,1747,1747,1747,1747,,
2010-02-08,1957,1957,1957,1957,,
2010-02-09,663,663,663,663,,
2010-02-10,1511,1511,1511,1511,,
2010-02-11,697,697,697,697,,
2010-02-12,1388,1388,1388,1388,,
2010-02-16,513,513,513,513,,
2010-02-17,981,981,981,981,,
2010-02-18,930,930,930,930,,
2010-02-19,1229,1229,1229,1229,,
2010-02-22,1535,1535,1535,1535,,
2010-02-23,2116,2116,2116,2116,,
2010-02-24,823,823,823,823,,
2010-02-25,1505,1505,1505,1505,,
2010-02-26,1223,1223,1223,1223,,
2010-03-01,627,627,627,627,,
2010-03-02,891,891,891,891,,
2010-03-03,1368,1368,1368,1368,,
2010-03-04,1254,1254,1254,1254,,
2010-03-05,477,477,477,477,,
2010-03-08,1251,1251,1251,1251,,
2010-03-09,1312,1312,1312,1312,,
2010-03-10,984,984,984,984,,
2010-03-11,1220,1220,1220,1220,,
2010-03-12,1370,1370,1370,1370,,
2010-03-15,1773,1773,1773,1773,,
2010-03-16,807,807,807,807,,
2010-03-17,886,886,886,886,,
2010-03-18,1735,1735,1735,1735,,
2010-03-19,2135,2135,2135,2135,,
2010-03-22,1014,1014,1014,1014,,
2010-03-23,817,817,817,817,,
2010-03-24,2003,2003,2003,2003,,
2010-03-25,1778,1778,1778,1778,,
2010-03-26,1486,1486,1486,1486,,
2010-03-29,949,949,949,949,,
2010-03-30,1460,1460,1460,1460,,
2010-03-31,1817,1817,1817,1817,,
2010-04-01,779,779,779,779,,
2010-04-05,770,770,770,770,,
2010-04-06,1306,1306,1306,1306,,
2010-04-07,1923,1923,1923,1923,,
2010-04-08,1437,1437,1437,1437,,
2010-04-09,966,966,966,966,,
2010-04-12,1300,1300,1300,1300,,
2010-04-13,1604,1604,1604,1604,,
2010-04-14,713,713,713,713,,
2010-04-15,1560,1560,1560,1560,,
2010-04-16,2482,2482,2482,2482,,
2010-04-19,1693,1693,1693,1693,,
2010-04-20,575,575,575,575,,
2010-04-21,1304,1304,1304,1304,,
2010-04-22,1050,1050,1050,1050,,
2010-04-23,871,871,871,871,,
2010-04-26,1624,1624,1624,1624,,
2010-04-27,2608,2608,2608,2608,,
2010-04-28,1299,1299,1299,1299,,
2010-04-29,762,762,762,762,,
2010-04-30,2319,2319,2319,2319,,
2010-05-03,718,718,718,718,,
2010-05-04,2667,2667,2667,2667,,
2010-05-05,2477,2477,2477,2477,,
2010-05-06,3024,3024,3024,3024,,
2010-05-07,2243,2243,2243,2243,,
2010-05-10,162,162,162,162,,
2010-05-11,1376,1376,1376,1376,,
2010-05-12,603,603,603,603,,
2010-05-13,2001,2001,2001,2001,,
2010-05-14,2730,2730,2730,2730,,
2010-05-17,1845,1845,1845,1845,,
2010-05-18,2391,2391,2391,2391,,
2010-05-19,2471,2471,2471,2471,,
2010-05-20,3008,3008,3008,3008,,
2010-05-21,754,754,754,754,,
2010-05-24,1921,1921,1921,1921,,
2010-05-25,1976,1976,1976,1976,,
2010-05-26,1245,1245,1245,1245,,
2010-05-27,251,251,251,251,,
2010-05-28,2087,2087,2087,2087,,
2010-06-01,2422,2422,2422,2422,,
2010-06-02,473,473,473,473,,
2010-06-03,1094,1094,1094,1094,,
2010-06-04,2808,2808,2808,2808,,
2010-06-07,2242,2242,2242,2242,,
2010-06-08,1246,1246,1246,1246,,
2010-06-09,1518,1518,1518,1518,,
2010-06-10,422,422,422,422,,
2010-06-11,961,961,961,961,,
2010-06-14,1200,1200,1200,1200,,
2010-06-15,458,458,458,458,,
2010-06-16,1832,1832,1832,1832,,
2010-06-17,1533,1533,1533,1533,,
2010-06-18,1351,1351,1351,1351,,
2010-06-21,1810,1810,1810,1810,,
2010-06-22,2467,2467,2467,2467,,
2010-06-23,1623,1623,1623,1623,,
2010-06-24,2351,2351,2351,2351,,
2010-06-25,832,832,832,832,,
2010-06-28,1707,1707,1707,1707,,
2010-06-29,2866,2866,2866,2866,,
2010-06-30,1921,1921,1921,1921,,
2010-07-01,1874,1874,1874,1874,,
2010-07-02,1832,1832,1832,1832,,
2010-07-06,1543,1543,1543,1543,,
2010-07-07,448,448,448,448,,
2010-07-08,725,725,725,725,,
2010-07-09,635,635,635,635,,
2010-07-12,1929,1929,1929,1929,,
2010-07-13,521,521,521,521,,
2010-07-14,1654,1654,1654,1654,,
2010-07-15,1549,1549,1549,1549,,
2010-07-16,2437,2437,2437,2437,,
2010-07-19,1041,1041,1041,1041,,
2010-07-20,563,563,563,563,,
2010-07-21,2074,2074,2074,2074,,
2010-07-22,407,407,407,407,,
2010-07-23,600,600,600,600,,
2010-07-26,584,584,584,584,,
2010-07-27,1700,1700,1700,1700,,
2010-07-28,2085,2085,2085,2085,,
2010-07-29,1450,1450,1450,1450,,
2010-07-30,1450,1450,1450,1450,,
2010-08-02,475,475,475,475,,
2010-08-03,1840,1840,1840,1840,,
2010-08-04,816,816,816,816,,
2010-08-05,1745,1745,1745,1745,,
2010-08-06,1624,1624,1624,1624,,
2010-08-09,841,841,841,841,,
2010-08-10,2246,2246,2246,2246,,
2010-08-11,2729,2729,2729,2729,,
2010-08-12,1769,1769,1769,1769,,
2010-08-13,1657,1657,1657,1657,,
2010-08-16,1102,1102,1102,1102,,
2010-08-17,650,650,650,650,,
2010-08-18,1276,1276,1276,1276,,
2010-08-19,2474,2474,2474,2474,,
2010-08-20,1746,1746,1746,1746,,
2010-08-23,1904,1904,1904,1904,,
2010-08-24,2303,2303,2303,2303,,
2010-08-25,1187,1187,1187,1187,,
2010-08-26,1940,1940,1940,1940,,
2010-08-27,454,454,454,454,,
2010-08-30,2366,2366,2366,2366,,
2010-08-31,1341,1341,1341,1341,,
2010-09-01,441,441,441,441,,
2010-09-02,896,896,896,896,,
2010-09-03,656,656,656,656,,
2010-09-07,2219,2219,2219,2219,,
2010-09-08,942,942,942,942,,
2010-09-09,1156,1156,1156,1156,,
2010-09-10,1096,1096,1096,1096,,
2010-09-13,895,895,895,895,,
2010-09-14,1612,1612,1612,1612,,
2010-09-15,1438,1438,1438,1438,,
2010-09-16,1759,1759,1759,1759,,
2010-09-17,1226,1226,1226,1226,,
2010-09-20,572,572,572,572,,
2010-09-21,1930,1930,1930,1930,,
2010-09-22,1912,1912,1912,1912,,
2010-09-23,2119,2119,2119,2119,,
2010-09-24,545,545,545,545,,
2010-09-27,1739,1739,1739,1739,,
2010-09-28,980,980,980,980,,
2010-09-29,1350,1350,1350,1350,,
2010-09-30,1462,1462,1462,1462,,
2010-10-01,953,953,953,953,,
2010-10-04,2178,2178,2178,2178,,
2010-10-05,565,565,565,565,,
2010-10-06,1621,1621,1621,1621,,
2010-10-07,1613,1613,1613,1613,,
2010-10-08,753,753,753,753,,
2010-10-11,1327,1327,1327,1327,,
2010-10-12,1319,1319,1319,1319,,
2010-10-13,862,862,862,862,,
2010-10-14,1792,1792,1792,1792,,
2010-10-15,1822,1822,1822,1822,,
2010-10-18,1029,1029,1029,1029,,
2010-10-19,2505,2505,2505,2505,,
2010-10-20,774,774,774,774,,
2010-10-21,1522,1522,1522,1522,,
2010-10-22,1181,1181,1181,1181,,
2010-10-25,1203,1203,1203,1203,,
2010-10-26,1617,1617,1617,1617,,
2010-10-27,1967,1967,1967,1967,,
2010-10-28,1475,1475,1475,1475,,
2010-10-29,1184,1184,1184,1184,,
2010-11-01,1428,1428,1428,1428,,
2010-11-02,783,783,783,783,,
2010-11-03,1286,1286,1286,1286,,
2010-11-04,496,496,496,496,,
2010-11-05,1250,1250,1250,1250,,
2010-11-08,1629,1629,1629,1629,,
2010-11-09,2279,2279,2279,2279,,
2010-11-10,1274,1274,1274,1274,,
2010-11-11,1913,1913,1913,1913,,
2010-11-12,2496,2496,2496,2496,,
2010-11-15,1594,1594,1594,1594,,
2010-11-16,2657,2657,2657,2657,,
2010-11-17,1240,1240,1240,1240,,
2010-11-18,589,589,589,589,,
2010-11-19,1240,1240,1240,1240,,
2010-11-22,1468,1468,1468,1468,,
2010-11-23,2369,2369,2369,2369,,
2010-11-24,520,520,520,520,,
2010-11-26,1975,1975,1975,1975,,
2010-11-29,1751,1751,1751,1751,,
2010-11-30,1964,1964,1964,1964,,
2010-12-01,699,699,699,699,,
2010-12-02,877,877,877,877,,
2010-12-03,1137,1137,1137,1137,,
2010-12-06,1519,1519,1519,1519,,
2010-12-07,1497,1497,1497,1497,,
2010-12-08,1877,1877,1877,1877,,
2010-12-09,1364,1364,1364,1364,,
2010-12-10,1115,1115,1115,1115,,
2010-12-13,1740,1740,1740,1740,,
2010-12-14,1719,1719,1719,1719,,
2010-12-15,2016,2016,2016,2016,,
2010-12-16,1009,1009,1009,1009,,
2010-12-17,1353,1353,1353,1353,,
2010-12-20,1544,1544,1544,1544,,
2010-12-21,999,999,999,999,,
2010-12-22,1187,1187,1187,1187,,
2010-12-23,1551,1551,1551,1551,,
2010-12-27,1323,1323,1323,1323,,
2010-12-28,1574,1574,1574,1574,,
2010-12-29,1261,1261,1261,1261,,
2010-12-30,1485,1485,1485,1485,,
2010-12-31,1349,1349,1349,1349,,
2011-01-03,793,793,793,793,,
2011-01-04,1907,1907,1907,1907,,
2011-01-05,1203,1203,1203,1203,,
2011-01-06,1841,1841,1841,1841,,
2011-01-07,1678,1678,1678,1678,,
2011-01-10,1474,1474,1474,1474,,
2011-01-11,1242,1242,1242,1242,,
2011-01-12,976,976,976,976,,
2011-01-13,1644,1644,1644,1644,,
2011-01-14,1268,1268,1268,1268,,
2011-01-18,1391,1391,1391,1391,,
2011-01-19,2368,2368,2368,2368,,
2011-01-20,1862,1862,1862,1862,,
2011-01-21,1442,1442,1442,1442,,
2011-01-24,902,902,902,902,,
2011-01-25,1393,1393,1393,1393,,
2011-01-26,947,947,947,947,,
2011-01-27,1354,1354,1354,1354,,
2011-01-28,2568,2568,2568,2568,,
2011-01-31,930,930,930,930,,
2011-02-01,548,548,548,548,,
2011-02-02,1598,1598,1598,1598,,
2011-02-03,1384,1384,1384,1384,,
2011-02-04,1515,1515,1515,1515,,
2011-02-07,927,927,927,927,,
2011-02-08,1101,1101,1101,1101,,
2011-02-09,1881,1881,1881,1881,,
2011-02-10,1442,1442,1442,1442,,
2011-02-11,873,873,873,873,,
2011-02-14,1349,1349,1349,1349,,
2011-02-15,1843,1843,1843,1843,,
2011-02-16,824,824,824,824,,
2011-02-17,1145,1145,1145,1145,,
2011-02-18,1282,1282,1282,1282,,
2011-02-22,2735,2735,2735,2735,,
2011-02-23,1988,1988,1988,1988,,
2011-02-24,1437,1437,1437,1437,,
2011-02-25,634,634,634,634,,
2011-02-28,980,980,980,980,,
2011-03-01,2332,2332,2332,2332,,
2011-03-02,1112,1112,1112,1112,,
2011-03-03,562,562,562,562,,
2011-03-04,1949,1949,1949,1949,,
2011-03-07,2322,2322,2322,2322,,
2011-03-08,749,749,749,749,,
2011-03-09,1612,1612,1612,1612,,
2011-03-10,2571,2571,2571,2571,,
2011-03-11,1203,1203,1203,1203,,
2011-03-14,2052,2052,2052,2052,,
2011-03-15,2391,2391,2391,2391,,
2011-03-16,2380,2380,2380,2380,,
2011-03-17,821,821,821,821,,
2011-03-18,838,838,838,838,,
2011-03-21,561,561,561,561,,
2011-03-22,1745,1745,1745,1745,,
2011-03-23,1345,1345,1345,1345,,
2011-03-24,1031,1031,1031,1031,,
2011-03-25,1034,1034,1034,1034,,
2011-03-28,1792,1792,1792,1792,,
2011-03-29,1012,1012,1012,1012,,
2011-03-30,866,866,866,866,,
2011-03-31,1246,1246,1246,1246,,
2011-04-01,951,951,951,951,,
2011-04-04,1361,1361,1361,1361,,
2011-04-05,1334,1334,1334,1334,,
2011-04-06,1297,1297,1297,1297,,
2011-04-07,1917,1917,1917,1917,,
2011-04-08,1963,1963,1963,1963,,
2011-04-11,2108,2108,2108,2108,,
2011-04-12,2256,2256,2256,2256,,
2011-04-13,1595,1595,1595,1595,,
2011-04-14,1386,1386,1386,1386,,
2011-04-15,949,949,949,949,,
2011-04-18,2464,2464,2464,2464,,
2011-04-19,1030,1030,1030,1030,,
2011-04-20,521,521,521,521,,
2011-04-21,1034,1034,1034,1034,,
2011-04-25,1653,1653,1653,1653,,
2011-04-26,850,850,850,850,,
2011-04-27,1112,1112,1112,1112,,
2011-04-28,1169,1169,1169,1169,,
2011-04-29,1049,1049,1049,1049,,
2011-05-02,1779,1779,1779,1779,,
2011-05-03,1973,1973,1973,1973,,
2011-05-04,2098,2098,2098,2098,,
2011-05-05,1878,1878,1878,1878,,
2011-05-06,1017,1017,1017,1017,,
2011-05-09,929,929,929,929,,
2011-05-10,609,609,609,609,,
2011-05-11,2338,2338,2338,2338,,
2011-05-12,1179,1179,1179,1179,,
2011-05-13,2184,2184,2184,2184,,
2011-05-16,2044,2044,2044,2044,,
2011-05-17,1751,1751,1751,1751,,
2011-05-18,712,712,712,712,,
2011-05-19,1237,1237,1237,1237,,
