Date,ndx_buy_hold,baseline,rsi_le_45,rsi_le_50,rsi_le_55
2002-11-20,6647.64435944088,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-21,6943.287029849913,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-22,6930.060420146672,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-25,6998.677339029676,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-26,6752.960462993436,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-27,6990.045889505026,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-11-29,6930.6192909792035,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-02,6957.879768254895,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-03,6761.095138444724,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-04,6641.186296487186,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-05,6539.161321170648,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-06,6619.328237259297,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-09,6301.827507622377,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-10,6415.02989958954,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-11,6435.3355398381755,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-12,6457.752469898595,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-13,6246.002521128422,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-16,6473.21456293196,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-17,6458.187147212787,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-18,6294.872670595321,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-19,6247.244456311824,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-20,6293.568638652749,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-23,6410.248449133439,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-24,6354.299269121144,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-26,6311.887182607939,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-27,6196.325113792311,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-30,6146.89609349288,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2002-12-31,6112.556585671793,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-02,6382.677488061897,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-03,6406.087966269041,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-06,6591.446792391905,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-07,6655.841131651338,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-08,6473.711337005321,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-09,6681.921770502797,13486.250950492586,13486.250950492586,13486.250950492586,13486.250950492586
2003-01-10,6752.153205124223,13821.322135990913,13821.322135990913,13821.322135990913,13821.322135990913
2003-01-13,6725.079018126044,13765.90262036323,13765.90262036323,13765.90262036323,13765.90262036323
2003-01-14,6798.787871260997,13916.780980569796,13916.780980569796,13916.780980569796,13916.780980569796
2003-01-15,6666.708064506113,13646.420178413631,13646.420178413631,13646.420178413631,13646.420178413631
2003-01-16,6591.322598873564,13492.109875725535,13492.109875725535,13492.109875725535,13492.109875725535
2003-01-17,6318.842019634995,12934.355667986349,12934.355667986349,12934.355667986349,12934.355667986349
2003-01-21,6265.128322952824,12824.406399596559,12824.406399596559,12824.406399596559,12824.406399596559
2003-01-22,6250.100907233651,12793.646026243578,12793.646026243578,12793.646026243578,12793.646026243578
2003-01-23,6412.546029222734,13126.163120009693,13126.163120009693,13126.163120009693,13126.163120009693
2003-01-24,6185.954955010898,12662.342449079817,12662.342449079817,12662.342449079817,12662.342449079817
2003-01-27,6125.286421301672,12538.156974840713,12538.156974840713,12538.156974840713,12538.156974840713
2003-01-28,6218.431560056881,12728.82044603688,12728.82044603688,12728.82044603688,12728.82044603688
2003-01-29,6312.508150199641,12921.390551945009,12921.390551945009,12921.390551945009,12921.390551945009
2003-01-30,6119.697712976359,12526.717166568944,12526.717166568944,12526.717166568944,12526.717166568944
2003-01-31,6104.421910220505,12495.448357292773,12495.448357292773,12495.448357292773,12495.448357292773
2003-02-03,6129.384807406901,12546.546167573346,12546.546167573346,12546.546167573346,12546.546167573346
2003-02-04,6034.128378839908,12351.560991030065,12351.560991030065,12351.560991030065,12351.560991030065
2003-02-05,6016.98967330895,12316.47891232997,12316.47891232997,12316.47891232997,12316.47891232997
2003-02-06,6026.800961257832,12336.562131295967,12336.562131295967,12336.562131295967,12336.562131295967
2003-02-07,5942.970336378144,12164.965007219416,12164.965007219416,12164.965007219416,12164.965007219416
2003-02-10,6023.137252466793,12329.062701428918,12329.062701428918,12329.062701428918,12329.062701428918
2003-02-11,6033.383217729866,12350.035683260498,12350.035683260498,12350.035683260498,12350.035683260498
2003-02-12,5941.23162712138,12161.405955757089,12161.405955757089,12161.405955757089,12161.405955757089
2003-02-13,5910.9905054055225,12099.503882108735,12099.503882108735,12099.503882108735,12099.503882108735
2003-02-14,6098.460621340172,12483.245895136219,12483.245895136219,12483.245895136219,12483.245895136219
2003-02-18,6302.262184936568,12900.417570113432,12900.417570113432,12900.417570113432,12900.417570113432
2003-02-19,6246.188811405932,12785.638160453338,12785.638160453338,12785.638160453338,12785.638160453338
2003-02-20,6218.804140611901,12729.583099921665,12729.583099921665,12729.583099921665,12729.583099921665
2003-02-21,6308.533957612752,12913.255577173972,12913.255577173972,12913.255577173972,12913.255577173972
2003-02-24,6176.702537894547,12643.403210940998,12643.403210940998,12643.403210940998,12643.403210940998
2003-02-25,6205.204950353641,12701.746233127025,12701.746233127025,12701.746233127025,12701.746233127025
2003-02-26,6051.391277889206,12386.897287691756,12386.897287691756,12386.897287691756,12386.897287691756
2003-02-27,6177.385602245418,12644.80140972977,12644.80140972977,12644.80140972977,12644.80140972977
2003-02-28,6270.158160445606,12834.70222704115,12834.70222704115,12834.70222704115,12834.70222704115
2003-03-03,6154.223511074957,12597.389759892323,12597.389759892323,12597.389759892323,12597.389759892323
2003-03-04,6103.987232906315,12494.55859442719,12494.55859442719,12494.55859442719,12494.55859442719
2003-03-05,6149.007383304665,12586.71260550534,12586.71260550534,12586.71260550534,12586.71260550534
2003-03-06,6110.0727153049875,12507.015274545342,12507.015274545342,12507.015274545342,12507.015274545342
2003-03-07,6127.832388427648,12543.36844305341,12543.36844305341,12543.36844305341,12543.36844305341
2003-03-10,5987.928390017325,12256.991909316766,12256.991909316766,12256.991909316766,12256.991909316766
2003-03-11,5953.961462751258,12187.463296820566,12187.463296820566,12187.463296820566,12187.463296820566
2003-03-12,6026.738864498661,12336.435022315169,12336.435022315169,12336.435022315169,12336.435022315169
2003-03-13,6394.662162581734,13089.555733540026,13089.555733540026,13089.555733540026,13089.555733540026
2003-03-14,6398.760548686963,13097.944926272661,13097.944926272661,13097.944926272661,13097.944926272661
2003-03-17,6687.883059383131,13689.76434086556,13689.76434086556,13689.76434086556,13689.76434086556
2003-03-18,6720.049180633262,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-19,6675.215320512422,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-20,6707.940312595085,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-21,6787.920938406223,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-24,6502.1516527052445,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-25,6623.0540428095055,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-26,6621.377430311912,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-27,6594.241146554561,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-28,6499.79197585678,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-03-31,6325.54846962537,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-04-01,6350.200883015915,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-04-02,6603.741950707592,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
2003-04-03,6607.467756257801,13667.028705149198,13667.028705149198,13667.028705149198,13667.028705149198
