Date,frozen_baseline,prior_70_30,boost_5%,boost_10%,boost_15%,primary_breadth_bucket,primary_ma200_bucket,primary_3x_drag
2002-11-25,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-26,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-27,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-11-29,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-02,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-03,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-04,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-05,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-06,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-09,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-10,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-11,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-12,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-13,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-16,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-17,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
2002-12-18,13486.250950492586,12438.943436230787,12794.543769174554,13160.370738404867,13531.650246874986,10160.370738404867,3000.0,13143.616800500504
