Date,frozen_baseline,fixed_60,fixed_80,10_sessions,20_sessions,40_sessions,primary_3x_drag
2012-04-25,52420.4226841714,51583.98947571251,53770.05098929783,51673.26400028916,51673.26400028916,51673.26400028916,51186.081155514825
2012-04-26,52722.414401866095,51881.162538989236,54079.817855479414,51970.95137012128,51970.95137012128,51970.95137012128,51480.961886701334
2012-04-27,53034.07914062725,52187.85427821973,54399.50678656112,52278.17388953162,52278.17388953162,52278.17388953162,51785.28786872662
2012-04-30,52692.42803656008,51851.65464353255,54049.05945428906,51941.39240642879,51941.39240642879,51941.39240642879,51451.681609101135
2012-05-01,52755.10921307071,51913.335663712984,54113.3544348418,52003.18017569567,52003.18017569567,52003.18017569567,51512.88683453639
2012-05-02,52906.97564381403,52062.77887618719,54269.13085377361,52152.88202407378,52152.88202407378,52152.88202407378,51661.177272705136
2012-05-03,52323.11209224287,51488.23159561759,53670.23501640269,51577.34039553224,51577.34039553224,51577.34039553224,51091.06193207677
2012-05-04,51033.31146324185,50219.0113439418,52347.226882621384,50305.923550771986,50305.923550771986,50305.923550771986,49831.63218523472
2012-05-07,51059.62208054262,50244.90214253605,52374.214899149694,50331.85915762475,50331.85915762475,50331.85915762475,49857.32326751617
2012-05-08,50877.57582407194,50065.76066108608,52187.48163772953,50152.40764256259,50152.40764256259,50152.40764256259,49679.56364673046
2012-05-09,50712.74754509956,49903.56242283383,52018.40965183157,49989.92869374967,49989.92869374967,49989.92869374967,49518.61657243775
2012-05-10,50613.889269800406,49806.28155458629,51917.006148552406,49892.47946506023,49892.47946506023,49892.47946506023,49422.086108865486
2012-05-11,50608.85929884585,49801.33184309033,51911.84667480434,49887.521187279555,49887.521187279555,49887.521187279555,49417.17457842933
2012-05-14,50111.6660160301,49312.07189906652,51401.85253893845,49397.4144989589,49397.4144989589,49397.4144989589,48931.688685316374
2012-05-15,49927.298234503476,49130.64593538765,51212.737981942264,49215.674547997965,49215.674547997965,49215.674547997965,48751.662204329354
2012-05-16,49556.04768597297,48765.319152281925,50831.929131075856,48849.71550718576,48849.71550718576,48849.71550718576,48389.153477137224
2012-05-17,48540.18701357395,47765.667803616925,49789.913875265804,47848.33409848079,47848.33409848079,47848.33409848079,47397.21323404923
2012-05-18,47949.74580767758,47184.64782339876,49184.27103376281,47266.30856822606,47266.30856822606,47266.30856822606,46820.6751228505
2012-05-21,49243.996026369154,48458.24666601328,50511.84331739816,48542.111581792284,48542.111581792284,48542.111581792284,48084.44968507839
2012-05-22,49123.47018388113,48339.64396362929,50388.21438874272,48423.303618047634,48423.303618047634,48423.303618047634,47966.761859627266
2012-05-23,49275.91699588845,48489.65829666073,50544.58613156853,48573.577575400435,48573.577575400435,48573.577575400435,48115.61901284634
2012-05-24,48971.60375313781,48190.20075115509,50232.43796981092,48273.601769669534,48273.601769669534,48273.601769669534,47818.471421458526
2012-05-25,48888.4157719663,48108.34013795267,50147.10821166994,48191.59948329682,48191.59948329682,48191.59948329682,47737.242264245084
2012-05-29,49505.941436848734,48716.01241084139,50780.53283489325,48800.32343237057,48800.32343237057,48800.32343237057,48340.22707779237
2012-05-30,49088.647308041895,48305.37673019573,50352.49495510232,48388.97707956604,48388.97707956604,48388.97707956604,47932.758956607686
2012-05-31,48846.24140011656,48066.838710794225,50103.848008705434,48150.02623113576,48150.02623113576,48150.02623113576,47696.06097058803
