"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/1993","372.61","379.38","379.38","369.84","","-1.78%"
"01/26/1993","379.38","381.06","384.68","378.45","","-0.44%"
"01/25/1993","381.06","377.82","383.43","377.56","","0.86%"
"01/22/1993","377.82","379.35","381.70","377.39","","-0.40%"
"01/21/1993","379.34","375.73","380.01","373.94","","0.96%"
"01/20/1993","375.73","376.02","377.92","374.56","","-0.08%"
"01/19/1993","376.02","378.75","380.09","375.65","","-0.72%"
"01/18/1993","378.75","379.24","379.24","375.33","","-0.13%"
"01/15/1993","379.24","381.34","382.79","375.62","","-0.55%"
"01/14/1993","381.34","375.85","382.45","375.85","","1.46%"
"01/13/1993","375.85","367.90","376.44","365.69","","2.16%"
"01/12/1993","367.90","370.81","371.60","365.14","","-0.78%"
"01/11/1993","370.81","365.54","371.15","364.53","","1.44%"
"01/08/1993","365.54","364.01","365.58","361.45","","0.42%"
"01/07/1993","364.01","366.97","370.57","363.61","","-0.81%"
"01/06/1993","366.97","360.24","367.25","360.24","","1.87%"
"01/05/1993","360.24","356.37","360.26","355.36","","1.09%"
"01/04/1993","356.37","360.19","360.42","355.81","","-1.06%"
"12/31/1992","360.19","359.94","362.20","359.87","","0.07%"
"12/30/1992","359.94","359.81","360.94","358.31","","0.04%"
"12/29/1992","359.81","359.06","362.78","359.06","","0.21%"
"12/28/1992","359.06","357.56","359.25","356.52","","0.42%"
"12/24/1992","357.56","356.50","358.05","355.26","","0.30%"
"12/23/1992","356.50","355.64","357.81","354.94","","0.24%"
"12/22/1992","355.64","359.33","360.85","353.28","","-1.03%"
"12/21/1992","359.33","357.89","359.70","355.99","","0.40%"
"12/18/1992","357.89","356.85","359.79","356.63","","0.29%"
"12/17/1992","356.85","348.95","357.02","348.95","","2.26%"
"12/16/1992","348.95","346.94","351.43","346.38","","0.58%"
"12/15/1992","346.94","349.40","349.40","344.80","","-0.70%"
"12/14/1992","349.40","350.89","352.28","349.40","","-0.42%"
"12/11/1992","350.89","354.56","354.56","349.81","","-1.04%"
"12/10/1992","354.56","357.81","357.81","351.80","","-0.91%"
"12/09/1992","357.81","360.57","361.41","356.22","","-0.77%"
"12/08/1992","360.57","361.83","363.20","358.98","","-0.35%"
"12/07/1992","361.83","358.40","361.90","357.47","","0.96%"
"12/04/1992","358.40","354.79","359.06","354.43","","1.02%"
"12/03/1992","354.79","351.57","355.64","350.12","","0.92%"
"12/02/1992","351.57","352.67","353.49","350.24","","-0.31%"
"12/01/1992","352.67","350.96","353.39","348.56","","0.49%"
"11/30/1992","350.96","349.31","351.29","348.02","","0.47%"
"11/27/1992","349.31","349.66","351.05","348.49","","-0.10%"
"11/25/1992","349.66","349.98","350.87","348.60","","-0.09%"
"11/24/1992","349.98","343.44","350.89","343.44","","1.90%"
"11/23/1992","343.44","348.81","348.81","341.30","","-1.54%"
"11/20/1992","348.81","346.75","349.89","346.23","","0.59%"
"11/19/1992","346.75","344.31","348.68","344.31","","0.71%"
"11/18/1992","344.31","338.23","344.82","337.67","","1.80%"
"11/17/1992","338.23","344.63","344.63","337.35","","-1.86%"
"11/16/1992","344.63","348.50","348.61","344.29","","-1.11%"
"11/13/1992","348.49","346.80","348.58","345.15","","0.49%"
"11/12/1992","346.80","347.86","349.49","345.58","","-0.30%"
"11/11/1992","347.86","344.39","349.78","344.38","","1.01%"
"11/10/1992","344.39","340.58","344.88","339.55","","1.12%"
"11/09/1992","340.58","338.14","341.79","336.13","","0.72%"
"11/06/1992","338.14","336.49","338.68","334.48","","0.49%"
"11/05/1992","336.49","327.76","337.00","327.24","","2.66%"
"11/04/1992","327.76","325.96","329.08","324.98","","0.55%"
"11/03/1992","325.96","330.33","331.04","325.25","","-1.32%"
"11/02/1992","330.33","329.15","330.56","327.20","","0.36%"
"10/30/1992","329.15","331.09","331.44","327.08","","-0.59%"
"10/29/1992","331.09","326.68","332.46","326.68","","1.35%"
"10/28/1992","326.68","323.93","327.05","322.19","","0.85%"
"10/27/1992","323.93","327.17","328.61","321.74","","-0.99%"
"10/26/1992","327.17","325.44","327.45","323.33","","0.53%"
"10/23/1992","325.44","326.10","328.18","324.95","","-0.20%"
"10/22/1992","326.10","326.07","327.45","323.47","","0.01%"
"10/21/1992","326.07","323.38","326.27","323.17","","0.83%"
"10/20/1992","323.38","322.79","326.69","322.04","","0.18%"
"10/19/1992","322.79","316.38","322.95","315.64","","2.03%"
"10/16/1992","316.38","312.13","316.95","310.88","","1.36%"
"10/15/1992","312.13","309.58","312.56","307.80","","0.82%"
"10/14/1992","309.58","310.13","311.57","308.38","","-0.18%"
"10/13/1992","310.13","308.11","311.65","307.82","","0.66%"
"10/12/1992","308.11","305.63","309.04","305.63","","0.81%"
"10/09/1992","305.63","308.35","309.13","304.88","","-0.88%"
"10/08/1992","308.35","305.38","310.02","305.38","","0.97%"
"10/07/1992","305.38","307.96","310.69","305.00","","-0.84%"
"10/06/1992","307.96","303.69","309.04","303.32","","1.41%"
"10/05/1992","303.69","304.39","304.39","291.96","","-0.23%"
"10/02/1992","304.39","309.04","309.04","303.67","","-1.50%"
"10/01/1992","309.04","313.19","313.19","308.78","","-1.33%"
"09/30/1992","313.19","310.65","313.45","310.23","","0.82%"
"09/29/1992","310.65","307.87","311.18","306.95","","0.90%"
"09/28/1992","307.87","310.23","310.23","305.57","","-0.76%"
"09/25/1992","310.23","317.54","317.73","307.69","","-2.30%"
"09/24/1992","317.54","315.81","318.32","315.81","","0.55%"
